"x"
38
26
28
32
35
30
17
19
20
15
21
18
22
17
41
21
12
12
36
33
22
29
30
22
26
24
23
34
27
22
20
23
26
28
33
31
17
24
37
30
30
30
28
19
29
23
39
29
22
20
27
36
22
20
22
19
19
21
16
25
18
25
21
24
25
19
22
24
15
22
18
20
43
39
41
20
27
25
40
48
22
32
17
27
19
23
23
14
27
36
34
55
40
14
20
33
46
20
12
24
29
17
25
24
18
18
15
17
29
44
36
12
33
27
23
14
11
16
30
26
21
22
25
36
22
31
16
22
21
21
26
23
36
17
15
20
24
22
16
27
38
27
32
25
40
27
46
24
22
24
15
36
20
25
35
20
17
36
20
17
33
28
28
17
23
34
28
42
17
20
28
19
21
13
20
27
27
33
30
26
14
45
35
15
32
22
15
25
30
37
18
27
33
25
12
28
19
25
18
25
29
23
32
30
32
25
33
12
42
40
24
25
38
29
23
25
15
20
31
29
28
25
28
25
34
21
16
27
41
20
26
12
28
29
29
17
30
18
13
21
19
34
22
13
23
37
19
22
17
15
42
21
18
39
32
32
27
24
30
17
21
29
29
42
32
35
22
19
19
17
30
40
27
30
24
11
29
15
28
22
27
19
40
