"rank","title","growth..30.days.","price","X5.star.ratings","X4.star.ratings","X3.star.ratings","X2.star.ratings","X1.star.ratings","category_num2","int_installs"
42,"LONEWOLF (17+) - a Sniper Story",0.7,0,331200,55837,18479,7625,22936,2,1e+07
43,"Monster Warlord",0,0,282326,58228,28844,13307,52280,2,1e+07
44,"Ingress Prime",0.3,0,188123,53049,33512,26380,125415,2,1e+07
45,"Super Bob's World : Free Run Game",3.2,0,295844,39500,23056,13057,45388,2,1e+08
46,"Hidden Hotel: Miami Mystery",0.7,0,255521,57215,27828,14099,34568,2,1e+07
47,"Survivors: The Quest",0.8,0,203815,85332,52161,12160,14049,2,1e+06
48,"Hard Time (Prison Sim)",0.7,0,210465,36063,26030,15179,54852,2,1e+07
49,"Draw a Stickman: EPIC 2",1.1,0,205418,36118,25297,16075,54122,2,1e+07
50,"Adventure Escape: Asylum",0.3,0,229461,63849,23818,4647,7186,2,1e+06
51,"Transformers: RobotsInDisguise",0.2,0,237449,24504,15570,9174,38135,2,1e+07
53,"Ghost Town Adventures: Mystery Riddles Game",0.2,0,205171,43727,24752,13226,33490,2,1e+07
54,"Terraria",1,4.99,264563,24837,10184,4387,13572,2,1e+06
55,"Piggy Boom-Be the coin master",0.2,0,255161,21673,12879,5855,21283,2,1e+07
56,"KENDALL & KYLIE",0,0,237365,31303,17404,8412,22160,2,5e+06
57,"Shipwrecked:Castaway Island",0,0,260935,25389,11899,4699,13439,2,1e+07
58,"Harry Potter: Wizards Unite",0.4,0,150171,48370,29450,20523,65406,2,1e+07
59,"Masha and the Bear Child Games",0.4,0,217484,24614,16712,9290,39958,2,5e+07
60,"Pearl's Peril - Hidden Object Game",0.6,0,205958,60257,18268,6767,12238,2,1e+07
62,"Mirrors of Albion",0,0,209903,34354,20106,11108,26835,2,1e+07
64,"Diamond Quest: Don't Rush!",0.7,0,199015,36646,16646,6507,14218,2,1e+07
68,"Devil Ninja 2",0,0,199868,27382,19150,5624,17672,2,1e+07
69,"Stormfall: Saga of Survival",0.7,0,159901,44646,18605,8182,24797,2,1e+07
70,"회색도시 for Kakao",0,0,160537,59045,24428,4079,7099,2,1e+06
72,"LEGO® Star Wars™: TFA",1,0,152013,20903,14875,10206,46086,2,1e+07
73,"Tinker Island - Survival Story Adventure",0.7,0,157652,34365,18567,10269,22332,2,5e+06
74,"﻿Dragon Land",0.5,0,172113,25782,14154,7012,20627,2,1e+07
75,"The Island Castaway: Lost World®",0.3,0,139937,50806,29770,6835,8314,2,1e+06
76,"Criminal Case: Pacific Bay",0.3,0,177063,28537,13355,4930,11758,2,1e+07
77,"The Wolf Among Us",0.2,0,180021,22471,10386,5427,16973,2,5e+06
