Link;Rank;Title;Artist/s;Streams
https://open.spotify.com/track/2vBET2pmrQqafaS6zIaYta;52;GIRL LIKE ME;Black Eyed Peas, Shakira;1.428.608
https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4;53;ROCKSTAR (feat. Roddy Ricch);DaBaby;1.417.649
https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6;54;Sweater Weather;The Neighbourhood;1.412.147
https://open.spotify.com/track/137mSruegm1u6x9NvwiagR;55;Unstable (feat. The Kid LAROI);Justin Bieber;1.391.607
https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y;56;What You Know Bout Love;Pop Smoke;1.389.112
https://open.spotify.com/track/65OVbaJR5O1RmwOQx0875b;57;Wants and Needs (feat. Lil Baby);Drake;1.378.608
https://open.spotify.com/track/2etHQJxIbV0soyPhelVs9Y;58;Best Friend (feat. Doja Cat);Saweetie;1.332.517
https://open.spotify.com/track/2Oycxb8QbPkpHTo8ZrmG0B;59;Prisoner (feat. Dua Lipa);Miley Cyrus;1.329.391
https://open.spotify.com/track/6I3mqTwhRpn34SLVafSH7G;60;Ghost;Justin Bieber;1.328.000
https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih;61;WAP (feat. Megan Thee Stallion);Cardi B;1.305.229
https://open.spotify.com/track/1KixkQVDUHggZMU9dUobgm;62;My Head & My Heart;Ava Max;1.302.429
https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku;63;Dance Monkey;Tones And I;1.301.867
https://open.spotify.com/track/54bFM56PmE4YLRnqpW6Tha;64;Therefore I Am;Billie Eilish;1.301.419
https://open.spotify.com/track/3T03rPwlL8NVk1yIaxeD8U;65;Off My Face;Justin Bieber;1.299.431
https://open.spotify.com/track/2ePtv8MlBO9nuuXABqAfEX;66;SugarCrash!;ElyOtto;1.278.797
https://open.spotify.com/track/4loQgPwJHocL3dFwLfjb1J;67;Reloj;Rauw Alejandro, Anuel AA;1.265.243
https://open.spotify.com/track/0zLCBJZSiELJf02ucPP9wb;68;Roses - Imanbek Remix;SAINt JHN;1.256.070
https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP;69;Before You Go;Lewis Capaldi;1.247.210
https://open.spotify.com/track/6cQ08IpBxxfGcSKxqE3NmB;70;Headshot (feat. Polo G & Fivio Foreign);Lil Tjay;1.226.641
https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA;71;Heather;Conan Gray;1.211.632
https://open.spotify.com/track/2MJz8BxxMsERULatmBikDH;72;At My Worst;Pink Sweat$;1.210.788
https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp;73;Hawái;Maluma;1.208.657
https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4;74;lovely (with Khalid);Billie Eilish;1.197.751
https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb;75;Circles;Post Malone;1.154.956
https://open.spotify.com/track/2Lhdl74nwwVGOE2Gv35QuK;76;Cupid's Chokehold / Breakfast in America;Gym Class Heroes;1.119.148
https://open.spotify.com/track/7FdUvDkaE24o3FPIWTvzv2;77;Follow You;Imagine Dragons;1.118.937
https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7;78;Adore You;Harry Styles;1.117.536
https://open.spotify.com/track/2MZQAvsA7aZDssppBLRxYp;79;Batom de Cereja - Ao Vivo;Israel & Rodolffo;1.116.551
https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S;80;For The Night (feat. Lil Baby & DaBaby);Pop Smoke;1.104.179
https://open.spotify.com/track/45S5WTQEGOB1VHr1Q4FuPl;81;Golden;Harry Styles;1.098.588
https://open.spotify.com/track/7ndTONDDRFGiPnnhOzOXxq;82;La Nota;Manuel Turizo, Rauw Alejandro, Myke Towers;1.080.912
https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY;83;Sunflower - Spider-Man: Into the Spider-Verse;Post Malone, Swae Lee;1.078.535
https://open.spotify.com/track/6RV9pRLIQiXm3qTGeyQluf;84;Machu Picchu;Camilo, Evaluna Montaner;1.075.927
https://open.spotify.com/track/0oaY19dUwZimIgzn3ZZLZO;85;2 Much;Justin Bieber;1.072.319
https://open.spotify.com/track/5NU40QTlXrDUJzDBdv79bg;86;Deserve You;Justin Bieber;1.065.767
https://open.spotify.com/track/2mM3gZ0BbPwPPMelbA8vgt;87;No Te Enamores - Remix;Milly, Farruko, Nio Garcia, Jay Wheeler, Amenazzy;1.056.990
https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx;88;death bed (coffee for your head);Powfu, beabadoobee;1.045.183
https://open.spotify.com/track/0siYMEsGrzzzlWLXK5zJfS;89;BED;Joel Corry, RAYE, David Guetta;1.042.895
https://open.spotify.com/track/20McUFi8KCIVdNDLrkTDuZ;90;Goosebumps;HVME;1.036.763
https://open.spotify.com/track/3Uo7WG0vmLQ07WB4BDwy7D;91;willow;Taylor Swift;1.013.108
https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM;92;Memories;Maroon 5;1.012.409
https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR;93;Lucid Dreams;Juice WRLD;1.012.074
https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B;94;Shallow;Lady Gaga, Bradley Cooper;1.008.828
https://open.spotify.com/track/7FGdjbZ32vMybPuP0IuE7d;95;Back In Blood (feat. Lil Durk);Pooh Shiesty;1.007.327
https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2;96;goosebumps;Travis Scott;1.007.143
https://open.spotify.com/track/2tB9OFgAHjAds3cqquLlvp;97;Loved By You (feat. Burna Boy);Justin Bieber;1.006.972
https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2;98;Señorita;Shawn Mendes, Camila Cabello;1.000.246
https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP;99;Believer;Imagine Dragons;999.999
https://open.spotify.com/track/7aely3H8kMj9o0gt6vXHE1;100;Die For You (feat. Dominic Fike);Justin Bieber;998.049
https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m;101;bad guy;Billie Eilish;989.231
https://open.spotify.com/track/5RubKOuDoPn5Kj5TLVxSxY;102;TE MUDASTE;Bad Bunny;982.707
https://open.spotify.com/track/0EhpEsp4L0oRGM0vmeaN5e;103;UN DIA (ONE DAY) (Feat. Tainy);J Balvin, Dua Lipa, Bad Bunny;980.309
https://open.spotify.com/track/27UcQ6dAvQrgH9C880rCM3;104;Love You Different (feat. BEAM);Justin Bieber;979.516
https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh;105;Say You Won't Let Go;James Arthur;974.599
https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c;106;Savage Love (Laxed - Siren Beat);Jawsh 685, Jason Derulo;960.583
https://open.spotify.com/track/2SAqBLGA283SUiwJ3xOUVI;107;Laugh Now Cry Later (feat. Lil Durk);Drake;959.217
https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I;108;The Box;Roddy Ricch;954.374
https://open.spotify.com/track/2dHoVW9AxJVSRebPRyV2aA;109;Gone;ROSÉ;950.176
https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po;110;Breaking Me;Topic, A7S;949.150
https://open.spotify.com/track/5Km4r87BoX2qqtoprYS1gh;111;LOCATION;KAROL G, Anuel AA, J Balvin;945.816
https://open.spotify.com/track/2dl5K2ScW7jYhAhuem06cm;112;PROBLEMA;Daddy Yankee;944.818
https://open.spotify.com/track/3dYD57lRAUcMHufyqn9GcI;113;Take Me To Church;Hozier;935.524
https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v;114;Perfect;Ed Sheeran;931.178
https://open.spotify.com/track/35UUpTmrcFXNIVIN26ujXl;115;Relación - Remix;Sech, Daddy Yankee, J Balvin, ROSALÍA, Farruko;923.387
https://open.spotify.com/track/7fBv7CLKzipRk6EC6TWHOB;116;The Hills;The Weeknd;918.190
https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3;117;Shape of You;Ed Sheeran;915.151
https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT;118;Break My Heart;Dua Lipa;912.985
https://open.spotify.com/track/1ZMiCix7XSAbfAJlEZWMCp;119;Falling;Harry Styles;912.427
https://open.spotify.com/track/5E30LdtzQTGqRvNd7l6kG5;120;Daddy Issues;The Neighbourhood;910.585
https://open.spotify.com/track/0E4Y1XIbs8GrAT1YqVy6dq;121;Afterglow;Ed Sheeran;904.786
https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW;122;Blueberry Faygo;Lil Mosey;903.226
https://open.spotify.com/track/1HbA4N1MiOsPthALesGFR1;123;Monster (Shawn Mendes & Justin Bieber);Shawn Mendes;895.085
https://open.spotify.com/track/7I8L3vYCLThw2FDrE6LuzE;124;Además de Mí - Remix;Rusherking, KHEA, Duki, Maria Becerra, Lit Killah, Tiago PZK;895.071
https://open.spotify.com/track/3buwFfY33H32wfZ6X9poV3;125;Somebody;Justin Bieber;880.685
https://open.spotify.com/track/161DnLWsx1i3u1JT05lzqU;126;Talking to the Moon;Bruno Mars;878.159
https://open.spotify.com/track/4PEfJZpVjdclfzZ9XO8uDw;127;Hasta Abajo;Kevin Roldan, Bryant Myers, Lyanno;878.059
https://open.spotify.com/track/2r6OAV3WsYtXuXjvJ1lIDi;128;Hello (feat. A Boogie Wit da Hoodie);Pop Smoke;876.859
https://open.spotify.com/track/1VLtjHwRWOVJiE5Py7JxoQ;129;Martin & Gina;Polo G;875.557
https://open.spotify.com/track/55Am8neGJkdj2ADaM3aw5H;130;Train Wreck;James Arthur;873.412
https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96;131;Jocelyn Flores;XXXTENTACION;870.618
https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW;132;HIGHEST IN THE ROOM;Travis Scott;867.768
https://open.spotify.com/track/1qDrWA6lyx8cLECdZE7TV7;133;Somebody That I Used To Know;Gotye, Kimbra;864.245
https://open.spotify.com/track/2bgcUk2A3jjKbCJ7KPquTi;134;Mi Niña;Wisin, Myke Towers, Los Legendarios;861.865
https://open.spotify.com/track/58pgi1RpcU2fVJsxhm7BIr;135;Tapão Na Raba;Raí Saia Rodada;861.773
https://open.spotify.com/track/1K5KBOgreBi5fkEHvg5ap3;136;Life Is Good (feat. Drake);Future;857.977
https://open.spotify.com/track/4FRW5Nza1Ym91BGV4nFWXI;137;Lemon Pepper Freestyle (feat. Rick Ross);Drake;857.878
https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ;138;If the World Was Ending - feat. Julia Michaels;JP Saxe;857.728
https://open.spotify.com/track/249gnXrbfmV8NG6jTEMSwD;139;Life Goes On;BTS;857.455
https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv;140;Bohemian Rhapsody - Remastered 2011;Queen;854.866
https://open.spotify.com/track/3U4isOIWM3VvDubwSI3y7a;141;All of Me;John Legend;854.738
https://open.spotify.com/track/21N4Buj4xsyLb218lYle61;142;Chica Ideal;Sebastian Yatra, Guaynaa;852.697
https://open.spotify.com/track/2U5WueTLIK5WJLD7mvDODv;143;Wishing Well;Juice WRLD;852.664
https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9;144;Rain On Me (with Ariana Grande);Lady Gaga;850.889
https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ;145;everything i wanted;Billie Eilish;850.142
https://open.spotify.com/track/3rq5w4bQGigXOfdN30ATJt;146;Do I Wanna Know?;Arctic Monkeys;848.989
https://open.spotify.com/track/79s5XnCN4TJKTVMSmOx8Ep;147;Dior;Pop Smoke;848.436
https://open.spotify.com/track/0ofHAoxe9vBkTCp2UQIavz;148;Dreams - 2004 Remaster;Fleetwood Mac;848.319
https://open.spotify.com/track/7BqBn9nzAq8spo5e7cZ0dJ;149;Just the Way You Are;Bruno Mars;838.413
https://open.spotify.com/track/0qOnSQQF0yzuPWsXrQ9paz;150;Stereo Hearts (feat. Adam Levine);Gym Class Heroes;825.554
https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ;151;Robbery;Juice WRLD;822.794
https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF;152;7 rings;Ariana Grande;820.458
https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ;153;Ride It;Regard;820.268
https://open.spotify.com/track/6zFMeegAMYQo0mt8rXtrli;154;HOLIDAY;Lil Nas X;819.675
https://open.spotify.com/track/0VWLId2RwPCno9s1cJm2Vy;155;Travesuras - Remix;Nio Garcia, Casper Magico, Ozuna, Wisin & Yandel, Myke Towers, Flow La Movie;817.489
https://open.spotify.com/track/5vdp5UmvTsnMEMESIF2Ym7;156;Another One Bites The Dust - Remastered 2011;Queen;814.177
https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7;157;Falling;Trevor Daniel;811.685
https://open.spotify.com/track/2Y0wPrPQBrGhoLn14xRYCG;158;Come & Go (with Marshmello);Juice WRLD;809.813
https://open.spotify.com/track/2tpWsVSb9UEmDRxAl1zhX1;159;Counting Stars;OneRepublic;808.616
https://open.spotify.com/track/4HBZA5flZLE435QTztThqH;160;Stuck with U (with Justin Bieber);Ariana Grande;805.854
https://open.spotify.com/track/6AGOKlMZWLCaEJGnaROtF9;161;Put Your Records On;Ritt Momney;805.767
https://open.spotify.com/track/2kS6td1yvmpNgZTt1q5pQq;162;Hayloft;Mother Mother;805.288
https://open.spotify.com/track/7szuecWAPwGoV1e5vGu8tl;163;In Your Eyes;The Weeknd;801.078
https://open.spotify.com/track/1mauYRwbpoGQX6itP2FAJC;164;Fan de Tus Fotos;Nicky Jam, Romeo Santos;800.055
https://open.spotify.com/track/1Crj1zkRMpsEjb9NOR6Zof;165;L-Gante: Bzrp Music Sessions, Vol.38;Bizarrap, L-Gante;800.030
https://open.spotify.com/track/1JSTJqkT5qHq8MDJnJbRE1;166;Every Breath You Take;The Police;799.473
https://open.spotify.com/track/48q0vSHcJdhK3IiXH8C5WJ;167;Why'd You Only Call Me When You're High?;Arctic Monkeys;799.045
https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h;168;SICKO MODE;Travis Scott;797.587
https://open.spotify.com/track/4VXIryQMWpIdGgYR4TrjT1;169;All Girls Are The Same;Juice WRLD;797.235
https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2;170;SAD!;XXXTENTACION;793.896
https://open.spotify.com/track/1v1oIWf2Xgh54kIWuKsDf6;171;Runaway;AURORA;792.928
https://open.spotify.com/track/59qrUpoplZxbIZxk6X0Bm3;172;Take You Dancing;Jason Derulo;789.975
https://open.spotify.com/track/3AJwUDP919kvQ9QcozQPxg;173;Yellow;Coldplay;785.135
https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ;174;Godzilla (feat. Juice WRLD);Eminem;784.485
https://open.spotify.com/track/7kDUspsoYfLkWnZR7qwHZl;175;my ex's best friend (with blackbear);Machine Gun Kelly;783.912
https://open.spotify.com/track/5y7DaS3jAc9eZzcSOoUIwU;176;Una Locura;Ozuna, J Balvin, Chencho Corleone;782.716
https://open.spotify.com/track/7yq4Qj7cqayVTp3FF9CWbm;177;Riptide;Vance Joy;780.672
https://open.spotify.com/track/6EDO9iiTtwNv6waLwa1UUq;178;POPSTAR (feat. Drake);DJ Khaled;772.342
https://open.spotify.com/track/5KFHrrBMyGj5MhVbZMM3ts;179;Tu Veneno;J Balvin;769.624
https://open.spotify.com/track/3Zf4GutWZ7Hv3wsVQsSQPs;180;BEBÉ;Camilo, El Alfa;763.141
